1.751960083107049204e-01,3.786712918178029241e+01
1.933416529899152358e+00,4.923146488494450637e+02
2.911767897818608564e+00,1.289742821397379430e+03
3.047787132376330810e+00,1.444046251853222429e+03
4.195405763807593225e+00,3.277451332944800470e+03
5.828054156303480227e+00,7.905095786316208432e+03
6.497386395280532412e+00,1.064816170755991152e+04
7.398579354600569147e+00,1.525355890937816912e+04
8.060209768919719409e+00,1.937064405306413028e+04
9.354559716545757908e+00,2.944392406398532330e+04
1.099065993853186640e+01,4.651614192706860194e+04
1.182746526621352068e+01,5.735438279053124279e+04
1.247151955247780997e+01,6.675707468367810361e+04
1.349988676786457908e+01,8.381100391721790947e+04
1.430723788760696280e+01,9.906998780622931372e+04
1.581130685977308126e+01,1.322298942694423604e+05
1.646033107945668661e+01,1.485648557685514097e+05
1.704135311091902594e+01,1.642837934326761460e+05
1.892586294103212552e+01,2.228225343014344398e+05
1.923857613286498847e+01,2.337104136929725064e+05
